澳洲国际网球2 AO Tennis 2	多人, 模拟, 运动	05_14 JP
无尽地牢Dungeon of The Endless	动作 策略	05_15 US
神奇101高清复刻版The Wonderful 101: Remastered	动作冒险‎, 砍杀类	05_19 US
祖先的遗产Ancestors Legacy	即时战略	05_19 US
虔诚之花的晚钟 Ricordo	冒险	05_21 HK
梦幻之星Oneline2 第六章豪华版 Phantasy Star Online 2 Episode 6 Deluxe Package	多人动作角色扮演	05_21 JP
食人鲨（Maneater）	动作 角色扮演	05_22 US
畸形（Monstrum）	动作 其他	05_22 US
我的世界：地下城 Minecraft Dungeons	动作 冒险 角色扮演	05_26_HK
NINJALA 泡泡糖忍战	动作 多人	05_27 US
歌之王子殿下 Amazing Aria	乙女 恋爱冒险	05_28 JP
第六妖守 DAIROKU：AYAKASHIMORI	乙女 恋爱	05_28 JP
海腹川背BaZooKa! Umihara Kawase BaZooKa!	动作 多人	05_28 JP
机甲对战Synaptic Drive	动作 多人	05_28 US
限界凸起：萌情水晶H	角色扮演	05_28 HK
钓鱼明星：世界巡回赛 Fishing Star World Tour	街机 动作 模拟 运动	05_28 HK
伊苏8 伊达娜的安魂曲 Ys VIII: Lacrimosa of DANA	角色扮演	05_28 HK
香缇和七魔女 Shantae and the Seven Sirens	横版动作	05_28 US
等离子狂怒（Ion Fury）	第一人称射击	05_29 EU
异度神剑：终极版 Xenoblade Chronicles: Definitive Edition	角色扮演	05_29 HK
生化奇兵：合集 BioShock: The Collection	第一人称射击 动作	05_29 US
幽浮2 XCOM 2	角色扮演 动作 策略	05_29 US
无主之地传奇合集 Borderlands Legendary Collection	第一人称射击 动作 角色扮演	05_29 US
亚当冒险传奇： 起源 Adam's Venture™: Origins	动作 冒险 解谜	05_29 US
